user_id,sign_up_date,last_active_date,monthly_revenue,attributed_show_id
user_00080,2018-05-13,2018-12-13,8.36,
user_00081,2025-12-27,2026-05-27,7.07,
user_00082,2022-12-16,2023-06-16,6.36,
user_00083,2023-09-05,2023-12-05,12.39,
user_00084,2025-06-21,2025-12-21,45.05,
user_00085,2023-11-15,2024-08-15,7.59,
user_00086,2022-08-30,2022-12-30,16.41,
user_00087,2023-02-23,2023-07-23,9.35,
user_00088,2018-10-14,2019-03-14,6.79,
user_00089,2022-04-29,2023-01-29,22.95,
user_00090,2025-06-07,2026-06-07,17.08,
user_00091,2022-12-08,2023-06-08,10.76,
user_00092,2024-02-11,2024-06-11,7.57,
user_00093,2024-01-12,2024-03-12,9.92,
user_00094,2020-09-25,2021-03-25,13.4,
user_00095,2019-05-30,2019-09-30,7.29,
user_00096,2019-10-07,2020-05-07,8.15,
user_00097,2023-01-22,2023-07-22,14.12,
user_00098,2018-03-01,2018-10-01,9.6,
user_00099,2023-03-25,2023-10-25,21.32,
user_00100,2018-09-27,2019-04-27,16.41,
user_00101,2020-04-28,2020-07-28,8.04,
user_00102,2022-03-24,2022-07-24,8.66,
user_00103,2019-04-28,2019-05-28,8.58,
user_00104,2021-05-15,2021-12-15,21.34,
user_00105,2023-07-21,2023-11-21,17.82,
user_00106,2017-03-22,2017-07-22,23.11,
user_00107,2025-08-02,2026-04-02,9.3,
user_00108,2022-05-08,2022-09-08,16.18,
user_00109,2019-12-16,2020-07-16,15.84,
user_00110,2020-02-11,2020-08-11,6.82,
user_00111,2021-09-13,2022-05-13,11.5,
user_00112,2025-03-29,2025-08-29,7.08,
user_00113,2023-10-07,2024-06-07,9.37,
user_00114,2022-06-23,2022-12-23,10.65,
user_00115,2020-08-20,2021-05-20,7.38,
user_00116,2021-05-12,2022-01-12,7.63,
user_00117,2024-08-13,2025-01-13,23.12,
user_00118,2025-02-14,2025-12-14,6.1,
user_00119,2021-01-19,2021-03-19,7.88,
user_00120,2023-12-24,2024-09-24,9.02,
user_00121,2021-06-02,2021-12-02,16.16,
user_00122,2024-06-08,2025-04-08,6.25,
user_00123,2022-12-17,2023-04-17,21.49,
user_00124,2022-03-07,2022-10-07,6.27,
user_00125,2019-03-27,2019-10-27,22.59,
user_00126,2019-05-17,2019-05-17,7.48,
user_00127,2020-10-14,2021-02-14,10.26,
user_00128,2021-04-02,2021-08-02,33.11,
user_00129,2025-08-16,2026-02-16,16.38,
user_00130,2019-10-31,2020-05-31,8.22,
user_00131,2022-04-11,2022-06-11,13.3,
user_00132,2021-09-30,2022-03-30,9.33,
user_00133,2025-08-17,2026-05-17,7.99,
user_00134,2024-04-16,2024-09-16,30.96,
user_00135,2025-09-03,2026-02-03,7.44,
user_00136,2025-06-17,2026-01-17,18.36,
user_00137,2019-01-31,2019-08-31,9.59,
user_00138,2017-03-02,2017-11-02,11.14,
user_00139,2019-09-05,2020-04-05,10.62,
user_00140,2023-02-06,2023-06-06,19.64,
user_00141,2025-07-26,2026-02-26,10.01,
user_00142,2023-04-18,2024-02-18,16.11,
user_00143,2019-12-26,2020-04-26,10.87,
user_00144,2022-06-23,2023-01-23,14.31,
user_00145,2025-01-21,2025-07-21,7.51,
user_00146,2024-05-28,2024-09-28,6.09,
user_00147,2019-08-13,2020-02-13,11.03,
user_00148,2017-04-10,2017-08-10,12.26,
user_00149,2023-06-17,2024-01-17,23.63,
user_00150,2021-03-18,2021-05-18,9.99,
user_00151,2025-01-07,2025-05-07,17.48,
user_00152,2022-05-10,2022-08-10,9.33,
user_00153,2024-01-14,2024-06-14,7.97,
user_00154,2023-04-01,2023-08-01,36.34,
user_00155,2024-09-03,2024-12-03,26.79,
user_00156,2018-05-11,2018-10-11,20.44,
user_00157,2023-05-08,2023-11-08,13.47,
user_00158,2020-11-23,2021-04-23,12.08,
user_00159,2024-06-02,2024-12-02,11.67,
user_00160,2022-09-04,2023-04-04,19.58,
user_00161,2017-02-21,2017-10-21,21.31,
user_00162,2022-07-01,2023-02-01,16.96,
user_00163,2025-09-17,2026-03-17,37.7,
user_00164,2022-02-27,2022-09-27,11.73,
user_00165,2021-11-19,2022-09-19,21.39,
user_00166,2021-09-11,2022-02-11,34.47,
user_00167,2020-01-12,2020-07-12,14.01,
user_00168,2023-01-14,2023-10-14,6.02,
user_00169,2022-03-20,2022-06-20,6.05,
user_00170,2025-03-14,2025-12-14,6.2,
user_00171,2020-08-13,2021-01-13,6.85,
user_00172,2017-12-21,2018-06-21,15.91,
user_00173,2020-10-28,2021-03-28,6.18,
user_00174,2021-01-13,2021-08-13,23.56,
user_00175,2024-06-29,2024-12-29,16.01,
user_00176,2017-04-28,2017-12-28,7.15,
user_00177,2020-08-24,2020-12-24,11.73,
user_00178,2018-09-25,2019-06-25,7.11,
user_00179,2019-11-25,2020-09-25,12.65,
user_00180,2023-09-08,2024-04-08,7.11,
user_00181,2020-02-06,2020-10-06,22.07,
user_00182,2022-10-18,2023-02-18,21.67,
user_00183,2017-12-17,2018-10-17,10.02,
user_00184,2020-05-03,2020-10-03,12.92,
user_00185,2025-07-03,2025-09-03,19.87,
user_00186,2021-02-23,2021-05-23,9.81,
user_00187,2022-07-04,2022-09-04,10.27,
user_00188,2017-03-12,2017-07-12,10.99,
user_00189,2018-10-10,2019-02-10,7.99,
user_00190,2019-09-24,2020-01-24,9.67,
user_00191,2023-07-11,2023-12-11,14.21,
user_00192,2023-03-18,2024-01-18,7.32,
user_00193,2021-10-09,2022-07-09,12.05,
user_00194,2023-03-05,2024-01-05,37.99,
user_00195,2024-11-18,2025-08-18,15.37,
user_00196,2020-06-09,2020-11-09,8.88,
user_00197,2017-12-15,2018-04-15,19.16,
user_00198,2020-07-16,2020-11-16,10.72,
user_00199,2021-09-30,2022-04-30,14.1,
user_00200,2024-09-27,2025-04-27,7.93,
user_00201,2018-09-27,2019-09-27,14.19,
user_00202,2020-02-07,2020-07-07,6.07,
user_00203,2025-07-11,2026-02-11,6.8,
user_00204,2020-03-05,2020-07-05,8.73,
user_00205,2019-03-07,2019-09-07,17.23,
user_00206,2019-12-19,2020-05-19,12.82,
user_00207,2017-02-06,2017-07-06,8.0,
user_00208,2018-06-03,2018-07-03,7.54,
user_00209,2025-12-03,2026-08-03,10.5,
user_00210,2019-06-21,2020-02-21,9.22,
user_00211,2018-06-02,2018-09-02,28.61,
user_00212,2025-06-11,2026-03-11,12.2,
user_00213,2017-02-20,2017-05-20,17.6,
user_00214,2022-04-07,2022-04-07,10.31,
user_00215,2020-10-27,2021-02-27,8.9,
user_00216,2017-07-11,2017-11-11,14.19,
user_00217,2024-09-28,2025-04-28,24.58,
user_00218,2017-09-25,2018-06-25,18.14,
user_00219,2017-10-31,2018-03-31,16.03,
user_00220,2024-09-12,2025-06-12,26.31,
user_00221,2018-02-27,2018-05-27,6.43,
user_00222,2020-05-29,2020-09-29,17.58,
user_00223,2019-02-20,2019-09-20,18.19,
user_00224,2023-12-08,2024-04-08,15.76,
user_00225,2023-09-08,2024-04-08,18.88,
user_00226,2019-07-14,2019-12-14,8.74,
user_00227,2021-04-08,2021-12-08,14.97,
user_00228,2021-12-19,2022-04-19,13.77,
user_00229,2022-04-19,2022-09-19,9.25,
user_00230,2020-06-04,2020-12-04,6.99,
user_00231,2017-09-04,2018-04-04,10.78,
user_00232,2025-04-20,2025-11-20,11.87,
user_00233,2023-11-14,2024-03-14,14.55,
user_00234,2018-09-29,2019-01-29,10.5,
user_00235,2017-09-20,2018-01-20,32.82,
user_00236,2018-05-10,2018-11-10,7.53,
user_00237,2018-10-04,2019-03-04,17.84,
user_00238,2020-10-25,2021-02-25,8.33,
user_00239,2022-04-09,2022-11-09,6.07,
user_00240,2018-10-31,2019-07-31,12.33,
user_00241,2019-05-23,2019-10-23,6.11,
user_00242,2022-02-03,2022-06-03,10.91,
user_00243,2018-10-31,2019-05-31,8.66,
user_00244,2025-11-01,2026-07-01,18.86,
user_00245,2023-08-13,2024-03-13,14.13,
user_00246,2019-03-22,2019-12-22,13.14,
user_00247,2023-02-09,2023-05-09,8.64,
user_00248,2018-02-23,2018-06-23,6.58,
user_00249,2018-08-06,2019-02-06,8.97,
user_00250,2018-04-04,2018-11-04,19.26,
user_00251,2023-09-04,2024-04-04,20.12,
user_00252,2023-05-21,2023-12-21,8.81,
user_00253,2021-12-04,2022-10-04,12.24,
user_00254,2023-03-19,2023-06-19,9.5,
user_00255,2021-07-07,2021-11-07,6.48,
user_00256,2022-08-12,2023-03-12,12.23,
user_00257,2021-11-29,2022-07-29,13.44,
user_00258,2017-06-13,2017-11-13,7.83,
user_00259,2025-03-28,2025-07-28,11.14,
user_00260,2019-10-23,2020-02-23,16.28,
user_00261,2018-10-21,2019-03-21,11.72,
user_00262,2023-06-15,2023-09-15,10.22,
user_00263,2017-03-26,2017-06-26,6.34,
user_00264,2024-07-16,2025-04-16,28.85,
user_00265,2023-06-19,2023-08-19,16.45,
user_00266,2023-10-20,2024-02-20,27.19,
user_00267,2021-07-28,2021-10-28,19.06,
user_00268,2020-02-14,2020-11-14,14.9,
user_00269,2022-04-02,2023-02-02,14.01,
user_00270,2022-07-08,2022-12-08,8.21,
user_00271,2022-04-10,2022-09-10,15.53,
user_00272,2020-09-27,2021-06-27,8.51,
user_00273,2018-03-05,2018-09-05,18.04,
user_00274,2020-09-12,2021-02-12,6.25,
user_00275,2022-07-23,2022-10-23,12.52,
user_00276,2025-07-20,2026-06-20,6.8,
user_00277,2025-07-13,2026-02-13,10.24,
user_00278,2022-02-06,2022-04-06,18.25,
user_00279,2019-02-18,2019-03-18,8.99,
user_00280,2025-08-31,2025-09-30,25.87,
user_00281,2022-10-09,2023-02-09,28.3,
user_00282,2017-01-05,2017-06-05,15.02,
user_00283,2023-02-01,2023-09-01,11.07,
user_00284,2017-08-11,2018-06-11,26.73,
user_00285,2019-12-21,2020-08-21,15.77,
user_00286,2022-08-04,2022-12-04,18.08,
user_00287,2025-07-10,2026-05-10,26.34,
user_00288,2019-04-15,2019-08-15,8.1,
user_00289,2020-03-25,2021-02-25,7.79,
user_00290,2024-10-31,2025-05-31,10.57,
user_00291,2017-04-29,2017-11-29,11.15,
user_00292,2023-10-30,2024-01-30,12.04,
user_00293,2024-12-17,2025-03-17,7.35,
user_00294,2021-11-29,2022-03-29,9.51,
user_00295,2020-05-01,2020-12-01,6.83,
user_00296,2024-07-31,2025-01-31,13.83,
user_00297,2022-03-06,2022-07-06,19.82,
user_00298,2024-04-07,2024-10-07,21.86,
user_00299,2022-08-04,2023-05-04,11.28,
user_00300,2020-04-10,2020-11-10,7.75,
user_00301,2020-01-25,2020-08-25,9.72,
user_00302,2022-05-31,2022-10-31,7.62,
user_00303,2019-09-26,2020-05-26,6.73,
user_00304,2018-08-16,2019-02-16,22.58,
user_00305,2023-09-22,2023-11-22,22.36,
user_00306,2018-07-14,2019-01-14,11.33,
user_00307,2020-02-06,2020-05-06,8.18,
user_00308,2021-08-27,2022-05-27,10.06,
user_00309,2025-11-01,2026-02-01,9.33,
user_00310,2017-01-11,2017-07-11,12.41,
user_00311,2019-06-22,2020-04-22,15.52,
user_00312,2023-07-04,2023-12-04,12.5,
user_00313,2022-06-29,2023-01-29,8.66,
user_00314,2022-01-04,2022-05-04,14.11,
user_00315,2020-11-14,2021-06-14,25.53,
user_00316,2025-07-22,2026-02-22,7.23,
user_00317,2022-02-09,2022-10-09,7.44,
user_00318,2019-02-12,2019-08-12,6.04,
user_00319,2019-09-06,2020-01-06,8.79,
user_00320,2019-08-15,2020-04-15,17.33,
user_00321,2021-08-10,2022-02-10,21.91,
user_00322,2023-09-07,2024-02-07,13.25,
user_00323,2021-04-11,2021-09-11,16.56,
user_00324,2024-06-11,2025-02-11,20.01,
user_00325,2024-04-24,2024-10-24,6.56,
user_00326,2022-07-22,2022-12-22,7.52,
user_00327,2018-06-02,2019-03-02,6.43,
user_00328,2023-08-15,2024-02-15,19.88,
user_00329,2018-02-16,2018-09-16,11.03,
user_00330,2021-12-09,2022-08-09,27.57,
user_00331,2025-03-19,2025-09-19,14.49,
user_00332,2025-02-07,2025-10-07,15.46,
user_00333,2024-11-13,2025-07-13,9.51,
user_00334,2018-09-25,2019-02-25,7.36,
user_00335,2024-02-14,2024-07-14,9.06,
user_00336,2020-10-18,2021-03-18,9.82,
user_00337,2021-06-17,2021-10-17,18.15,
user_00338,2020-09-07,2021-01-07,28.94,
user_00339,2022-12-26,2023-05-26,12.34,
user_00340,2020-07-21,2021-04-21,7.89,
user_00341,2025-07-08,2026-04-08,10.92,
user_00342,2023-01-26,2023-04-26,23.45,
user_00343,2017-08-29,2017-12-29,10.33,
user_00344,2023-03-11,2023-09-11,9.27,
user_00345,2019-07-21,2019-12-21,8.63,
user_00346,2021-11-13,2022-02-13,10.36,
user_00347,2025-07-12,2025-12-12,8.28,
user_00348,2018-02-16,2018-05-16,6.51,
user_00349,2024-10-13,2025-04-13,10.23,
user_00350,2017-04-18,2017-10-18,9.29,
user_00351,2024-03-18,2024-12-18,7.95,
user_00352,2019-12-21,2020-05-21,10.2,
user_00353,2018-08-20,2018-10-20,9.98,
user_00354,2020-05-14,2020-11-14,6.94,
user_00355,2025-11-21,2026-05-21,14.55,
user_00356,2018-05-10,2018-10-10,41.67,
user_00357,2024-11-13,2025-07-13,13.71,
user_00358,2024-08-30,2024-12-30,8.62,
user_00359,2025-04-01,2025-08-01,23.65,
user_00360,2019-08-10,2020-02-10,7.08,
user_00361,2019-11-07,2020-09-07,17.71,
user_00362,2024-06-24,2024-12-24,7.12,
user_00363,2024-04-17,2024-08-17,13.21,
user_00364,2020-03-24,2020-05-24,13.8,
user_00365,2018-10-10,2019-10-10,6.2,
user_00366,2025-07-19,2025-10-19,25.94,
user_00367,2023-08-04,2024-04-04,15.11,
user_00368,2025-09-23,2026-03-23,10.67,
user_00369,2019-10-22,2020-03-22,19.43,
user_00370,2020-05-22,2021-02-22,9.12,
user_00371,2020-02-08,2020-04-08,21.24,
user_00372,2018-03-13,2018-10-13,8.2,
user_00373,2022-02-19,2022-07-19,6.73,
user_00374,2020-04-26,2020-09-26,11.37,
user_00375,2020-04-24,2020-12-24,19.04,
user_00376,2024-07-02,2024-11-02,8.68,
user_00377,2020-01-30,2020-07-30,11.21,
user_00378,2024-10-23,2025-05-23,8.8,
user_00379,2025-05-09,2026-01-09,7.17,
user_00380,2023-10-20,2024-11-20,33.18,
user_00381,2020-03-18,2020-12-18,19.53,
user_00382,2019-08-01,2019-11-01,11.53,
user_00383,2020-12-14,2021-06-14,13.61,
user_00384,2018-06-28,2019-01-28,11.19,
user_00385,2024-08-08,2025-01-08,7.42,
user_00386,2025-08-10,2026-02-10,9.39,
user_00387,2018-07-15,2019-01-15,7.24,
user_00388,2024-01-15,2024-06-15,13.07,
user_00389,2020-06-19,2021-02-19,22.64,
user_00390,2017-05-17,2017-09-17,11.81,
user_00391,2025-03-19,2025-11-19,19.47,
user_00392,2025-03-09,2025-07-09,7.09,
user_00393,2023-09-12,2024-01-12,19.74,
user_00394,2019-04-03,2020-04-03,7.99,
user_00395,2021-10-04,2022-03-04,20.52,
user_00396,2021-02-07,2021-05-07,7.23,
user_00397,2020-01-22,2020-09-22,11.15,
user_00398,2019-11-19,2019-12-19,12.45,
user_00399,2022-05-28,2022-11-28,19.82,
user_00400,2020-04-23,2021-04-23,6.49,
user_00401,2020-10-19,2021-02-19,8.69,
user_00402,2022-04-03,2022-07-03,17.62,
user_00403,2018-07-31,2018-12-31,33.49,
user_00404,2019-07-14,2019-12-14,13.69,
user_00405,2025-02-14,2025-07-14,13.91,
user_00406,2021-06-16,2022-04-16,7.73,
user_00407,2023-04-02,2023-09-02,7.6,
user_00408,2025-11-13,2026-07-13,17.72,
user_00409,2019-12-20,2020-04-20,7.09,
user_00410,2022-02-06,2022-10-06,14.53,
user_00411,2025-05-26,2025-08-26,20.06,
user_00412,2023-07-23,2023-11-23,16.92,
user_00413,2024-02-29,2024-06-29,9.05,
user_00414,2018-03-20,2018-07-20,10.3,
user_00415,2022-04-16,2022-08-16,7.1,
user_00416,2025-01-13,2025-08-13,6.18,
user_00417,2020-09-05,2021-07-05,7.77,
user_00418,2019-06-26,2019-12-26,6.74,
user_00419,2024-02-16,2024-06-16,19.36,
user_00420,2024-11-11,2025-04-11,7.34,
user_00421,2021-07-31,2022-05-31,8.1,
user_00422,2017-06-24,2017-07-24,24.68,
user_00423,2020-05-31,2020-07-31,9.53,
user_00424,2018-04-21,2018-11-21,9.9,
user_00425,2025-01-17,2025-10-17,11.62,
user_00426,2021-05-11,2021-11-11,7.77,
user_00427,2024-07-09,2025-05-09,11.33,
user_00428,2024-10-23,2025-03-23,21.65,
user_00429,2021-09-13,2022-06-13,7.02,
user_00430,2025-02-24,2025-12-24,21.64,
user_00431,2020-05-21,2021-02-21,6.74,
user_00432,2022-06-28,2023-01-28,18.6,
user_00433,2020-02-20,2020-11-20,13.57,
user_00434,2019-12-26,2020-06-26,28.79,
user_00435,2020-10-13,2021-04-13,8.36,
user_00436,2021-01-25,2021-05-25,7.04,
user_00437,2023-03-14,2023-07-14,13.24,
user_00438,2024-03-26,2024-11-26,17.16,
user_00439,2021-06-19,2022-01-19,7.83,
user_00440,2025-10-20,2026-07-20,8.11,
user_00441,2024-08-21,2025-02-21,6.29,
user_00442,2018-01-11,2018-04-11,6.32,
user_00443,2024-03-13,2024-11-13,18.04,
user_00444,2017-03-29,2017-12-29,15.8,
user_00445,2019-10-03,2020-02-03,24.76,
user_00446,2018-01-13,2018-01-13,8.94,
user_00447,2019-04-21,2019-07-21,12.49,
user_00448,2023-12-12,2024-09-12,46.64,
user_00449,2023-07-30,2024-02-29,17.45,
user_00450,2024-11-11,2025-05-11,21.39,
user_00451,2024-01-17,2024-10-17,10.0,
user_00452,2025-03-08,2025-11-08,7.01,
user_00453,2020-02-10,2020-08-10,33.95,
user_00454,2018-08-16,2019-05-16,11.2,
user_00455,2023-01-22,2024-05-22,8.21,
user_00456,2018-05-08,2018-11-08,19.9,
user_00457,2024-10-27,2025-04-27,10.25,
user_00458,2017-02-11,2017-07-11,12.31,
user_00459,2025-11-04,2026-04-04,19.38,
user_00460,2019-09-08,2020-06-08,7.45,
user_00461,2019-04-15,2019-08-15,11.58,
user_00462,2023-09-05,2024-01-05,16.9,
user_00463,2018-04-11,2019-03-11,10.55,
user_00464,2022-05-05,2023-02-05,10.11,
user_00465,2021-01-22,2021-09-22,8.76,
user_00466,2018-03-23,2019-02-23,10.74,
user_00467,2019-06-27,2019-08-27,6.32,
user_00468,2017-06-27,2018-05-27,9.34,
user_00469,2024-05-22,2024-09-22,19.53,
user_00470,2022-02-20,2022-09-20,21.05,
user_00471,2017-05-08,2017-11-08,7.9,
user_00472,2021-02-26,2021-11-26,12.08,
user_00473,2021-10-13,2022-03-13,7.53,
user_00474,2022-07-02,2023-02-02,9.18,
user_00475,2021-12-22,2022-03-22,8.62,
user_00476,2017-09-20,2018-01-20,10.59,
user_00477,2018-08-31,2019-04-30,16.69,
user_00478,2019-05-17,2019-09-17,13.82,
user_00479,2023-07-26,2023-11-26,8.64,
user_00480,2020-08-24,2021-03-24,20.08,
user_00481,2023-09-13,2024-07-13,6.85,
user_00482,2022-02-02,2022-10-02,10.14,
user_00483,2021-10-29,2022-07-29,8.47,
user_00484,2023-04-16,2023-07-16,12.34,
user_00485,2023-01-10,2023-07-10,6.13,
user_00486,2025-08-16,2026-03-16,12.97,
user_00487,2019-05-31,2020-01-31,25.16,
user_00488,2019-07-25,2020-01-25,13.67,
user_00489,2022-02-01,2022-05-01,39.42,
user_00490,2025-03-08,2025-07-08,12.67,
user_00491,2020-07-13,2020-09-13,8.87,
user_00492,2019-11-11,2020-04-11,36.17,
user_00493,2018-09-18,2019-02-18,13.92,
user_00494,2022-04-27,2022-09-27,8.97,
user_00495,2024-07-07,2025-04-07,22.29,
user_00496,2020-07-17,2021-02-17,8.76,
user_00497,2023-08-16,2023-12-16,30.62,
user_00498,2018-06-17,2018-10-17,18.7,
user_00499,2023-07-31,2023-12-31,18.77,
user_00500,2023-04-20,2024-01-20,28.36,
user_00501,2018-05-16,2019-01-16,16.38,
user_00502,2024-06-18,2024-09-18,19.84,
user_00503,2021-09-29,2022-04-29,16.05,
user_00504,2025-02-01,2025-04-01,6.63,
user_00505,2019-06-10,2020-03-10,6.81,
user_00506,2020-12-11,2021-03-11,6.18,
user_00507,2021-06-25,2021-08-25,27.97,
user_00508,2023-01-16,2023-03-16,17.48,
user_00509,2018-03-20,2019-03-20,8.61,
user_00510,2023-03-29,2023-10-29,12.91,
user_00511,2025-07-21,2025-11-21,9.04,
user_00512,2018-10-19,2019-08-19,13.54,
user_00513,2023-04-17,2023-10-17,22.15,
user_00514,2023-12-22,2024-04-22,7.11,
user_00515,2024-03-17,2024-06-17,6.88,
user_00516,2023-10-31,2024-01-31,21.28,
user_00517,2024-10-11,2025-01-11,8.19,
user_00518,2018-06-07,2019-01-07,8.42,
user_00519,2023-11-10,2024-03-10,15.82,
user_00520,2020-10-23,2021-05-23,8.44,
user_00521,2019-01-14,2019-09-14,23.59,
user_00522,2023-05-09,2023-08-09,8.09,
user_00523,2017-10-13,2018-02-13,29.73,
user_00524,2022-11-12,2023-06-12,15.15,
user_00525,2018-01-11,2018-05-11,13.25,
user_00526,2019-06-01,2019-11-01,7.96,
user_00527,2022-02-02,2022-05-02,9.42,
user_00528,2021-02-24,2021-07-24,10.24,
user_00529,2020-08-21,2021-04-21,9.05,
user_00530,2023-05-14,2024-01-14,15.67,
user_00531,2017-08-04,2017-10-04,15.46,
user_00532,2023-10-12,2024-05-12,6.88,
user_00533,2024-07-23,2025-01-23,8.42,
user_00534,2020-10-08,2021-04-08,11.42,
user_00535,2022-06-13,2022-10-13,10.99,
user_00536,2021-08-24,2022-04-24,14.26,
user_00537,2023-10-15,2024-04-15,22.09,
user_00538,2020-11-14,2021-05-14,13.04,
user_00539,2020-03-06,2020-09-06,16.85,
user_00540,2023-08-27,2024-02-27,9.91,
user_00541,2024-06-25,2025-04-25,13.39,
user_00542,2019-06-23,2019-11-23,6.18,
user_00543,2023-09-21,2024-04-21,13.1,
user_00544,2018-09-02,2019-02-02,11.06,
user_00545,2019-05-16,2019-11-16,11.2,
user_00546,2025-07-28,2026-01-28,14.53,
user_00547,2019-09-20,2019-10-20,16.06,
user_00548,2021-04-27,2021-09-27,10.38,
user_00549,2018-12-21,2019-05-21,25.36,
user_00550,2021-10-01,2022-03-01,12.99,
user_00551,2022-08-12,2023-04-12,11.96,
user_00552,2024-06-29,2025-01-29,8.41,
user_00553,2017-10-23,2018-08-23,11.75,
user_00554,2025-04-28,2025-09-28,14.64,
user_00555,2017-02-15,2017-07-15,31.36,
user_00556,2017-11-15,2018-02-15,7.55,
user_00557,2023-06-17,2023-11-17,11.56,
user_00558,2021-07-15,2021-12-15,13.21,
user_00559,2021-09-07,2022-04-07,12.65,
user_00560,2020-04-16,2020-10-16,8.02,
user_00561,2019-09-14,2020-03-14,7.24,
user_00562,2025-07-22,2026-02-22,6.73,
user_00563,2024-09-25,2024-12-25,8.08,
user_00564,2017-12-27,2018-02-27,6.87,
user_00565,2018-03-10,2018-07-10,9.35,
user_00566,2022-04-20,2023-02-20,13.97,
user_00567,2017-11-19,2018-08-19,6.56,
user_00568,2020-06-24,2020-12-24,9.76,
user_00569,2019-06-27,2020-01-27,6.14,
user_00570,2018-11-20,2019-10-20,36.33,
user_00571,2022-11-09,2023-04-09,8.42,
user_00572,2021-06-29,2022-02-28,6.47,
user_00573,2024-02-01,2024-11-01,6.59,
user_00574,2025-02-27,2026-01-27,10.32,
user_00575,2024-03-28,2024-05-28,22.54,
user_00576,2019-08-26,2020-01-26,31.7,
user_00577,2019-02-27,2019-06-27,29.28,
user_00578,2022-06-15,2023-01-15,38.25,
user_00579,2023-11-03,2024-05-03,22.14,
user_00580,2018-12-27,2019-08-27,12.67,
